LOAD_PANDAS()
         362855466 function calls (360044859 primitive calls) in 1255.949 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       36    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.004    0.004 _decorators.py:170(wrapper)
   6536/2   15.334    0.002 1255.949  627.974 _decorators.py:323(wrapper)
    26152    0.033    0.000    0.066    0.000 _dtype.py:178(_datetime_metadata_str)
   234700    0.142    0.000    0.142    0.000 _dtype.py:24(_kind_name)
   234700    0.166    0.000    0.401    0.000 _dtype.py:330(_name_includes_bit_suffix)
    13066    0.031    0.000    0.157    0.000 _dtype.py:34(__str__)
   234700    0.618    0.000    1.332    0.000 _dtype.py:344(_name_get)
    57984    1.434    0.000    8.865    0.000 _exceptions.py:30(find_stack_level)
    82101    0.061    0.000    0.982    0.000 _methods.py:39(_amax)
    82101    0.079    0.000    1.503    0.000 _methods.py:43(_amin)
   137215    0.103    0.000    0.920    0.000 _methods.py:55(_any)
  1783577    1.380    0.000   14.485    0.000 _methods.py:61(_all)
    97995    0.021    0.000    0.021    0.000 _mixins.py:109(_box_func)
  1167796    5.549    0.000   64.606    0.000 _mixins.py:121(view)
    82101    0.277    0.000   14.886    0.000 _mixins.py:154(take)
    98012    0.439    0.000   63.688    0.001 _mixins.py:214(_concat_same_type)
    98012    0.249    0.000    0.491    0.000 _mixins.py:221(<setcomp>)
    98012    0.070    0.000    0.070    0.000 _mixins.py:225(<listcomp>)
  1729288    7.247    0.000   40.600    0.000 _mixins.py:283(__getitem__)
        1    0.000    0.000    0.000    0.000 _optional.py:90(import_optional_dependency)
    13066    0.046    0.000    0.049    0.000 _ufunc_config.py:132(geterr)
    13066    0.060    0.000    0.142    0.000 _ufunc_config.py:33(seterr)
     6533    0.011    0.000    0.011    0.000 _ufunc_config.py:426(__init__)
     6533    0.017    0.000    0.106    0.000 _ufunc_config.py:430(__enter__)
     6533    0.015    0.000    0.068    0.000 _ufunc_config.py:435(__exit__)
     6533    0.006    0.000    0.008    0.000 _validators.py:226(validate_bool_kwarg)
  1192938    0.452    0.000    1.411    0.000 abc.py:117(__instancecheck__)
    62/11    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
    49469    0.131    0.000    0.687    0.000 algorithms.py:117(_ensure_data)
    82101    0.325    0.000   13.277    0.000 algorithms.py:1484(take)
    49469    0.153    0.000    0.456    0.000 algorithms.py:197(_reconstruct_data)
    49469    0.038    0.000    0.117    0.000 algorithms.py:235(_ensure_arraylike)
    49469    0.088    0.000    8.177    0.000 algorithms.py:269(_get_hashtable_algo)
    49469    0.400    0.000    7.401    0.000 algorithms.py:287(_check_object_for_strings)
    49469    0.081    0.000   21.302    0.000 algorithms.py:315(unique)
    49469    0.402    0.000   21.222    0.000 algorithms.py:412(unique_with_mask)
        1    0.002    0.002    0.008    0.008 api.py:104(<listcomp>)
        1    0.005    0.005    0.008    0.008 api.py:108(_get_distinct_objs)
        1    0.000    0.000    0.191    0.191 api.py:122(_get_combined_index)
        1    0.001    0.001    0.182    0.182 api.py:204(union_indexes)
        1    0.000    0.000    0.012    0.012 api.py:256(_find_common_index_dtype)
        1    0.012    0.012    0.012    0.012 api.py:268(<listcomp>)
     6533    0.004    0.000    0.158    0.000 api.py:316(<genexpr>)
        1    0.000    0.000    0.001    0.001 api.py:328(_sanitize_and_check)
        1    0.001    0.001    0.001    0.001 api.py:349(<setcomp>)
    49469    0.125    0.000    0.314    0.000 api.py:384(default_index)
        1    0.000    0.000    0.199    0.199 api.py:78(get_objs_combined_axis)
   293970    0.325    0.000    0.790    0.000 base.py:106(__eq__)
        1    0.000    0.000    0.000    0.000 base.py:1268(copy)
   587940    0.204    0.000    0.272    0.000 base.py:130(<genexpr>)
   391980    0.712    0.000    1.156    0.000 base.py:135(__hash__)
   783960    0.248    0.000    0.325    0.000 base.py:138(<genexpr>)
     6533    0.002    0.000    0.002    0.000 base.py:148(is_consolidated)
   367581    0.060    0.000    0.060    0.000 base.py:166(kind)
    75605    0.028    0.000    0.028    0.000 base.py:1734(name)
        1    0.000    0.000    0.000    0.000 base.py:1752(_validate_names)
     6535    0.003    0.000    0.004    0.000 base.py:1820(_get_names)
        1    0.000    0.000    0.000    0.000 base.py:1823(_set_names)
        1    0.000    0.000    0.000    0.000 base.py:1852(set_names)
        1    0.000    0.000    0.000    0.000 base.py:1963(rename)
 12845921   12.503    0.000   14.670    0.000 base.py:229(construct_from_string)
    49469    1.327    0.000    2.008    0.000 base.py:2381(is_unique)
   177362    0.055    0.000    0.055    0.000 base.py:241(disallow_kwargs)
    98938    0.153    0.000    2.908    0.000 base.py:2421(is_boolean)
    40954    0.069    0.000    2.691    0.000 base.py:2745(inferred_type)
   164268    0.476    0.000    1.283    0.000 base.py:2752(_is_all_dates)
   177334    0.076    0.000    0.436    0.000 base.py:2783(_is_multi)
  2259803    2.333    0.000   11.238    0.000 base.py:286(is_dtype)
   309880    0.053    0.000    0.053    0.000 base.py:324(ndim)
    97995    0.018    0.000    0.018    0.000 base.py:340(_is_boolean)
    58797    0.066    0.000    0.389    0.000 base.py:356(size)
    97995    0.016    0.000    0.016    0.000 base.py:386(_can_hold_na)
    49469    0.518    0.000   55.804    0.001 base.py:3888(get_indexer)
    49469    0.205    0.000    7.600    0.000 base.py:3975(_get_indexer)
    49469    0.156    0.000    0.996    0.000 base.py:4020(_check_indexing_method)
   195990    0.040    0.000    0.040    0.000 base.py:406(__str__)
   293970    0.272    0.000    1.109    0.000 base.py:409(__eq__)
    20477    0.019    0.000    0.019    0.000 base.py:413(_engine_type)
   391980    0.393    0.000    1.549    0.000 base.py:414(__hash__)
    58797    0.184    0.000    1.349    0.000 base.py:428(to_numpy)
255758/177362    3.721    0.000   62.468    0.000 base.py:430(__new__)
     6533    0.009    0.000    0.022    0.000 base.py:46(__len__)
  1382936   17.325    0.000   49.278    0.000 base.py:494(find)
   701471    0.187    0.000    0.187    0.000 base.py:5090(_values)
    98938    0.139    0.000    0.457    0.000 base.py:5116(_get_engine_target)
        1    0.001    0.001    0.018    0.018 base.py:5377(append)
    13067    0.049    0.000    0.117    0.000 base.py:54(shape)
        1    0.001    0.001    0.003    0.003 base.py:5402(<setcomp>)
    58797    0.052    0.000    0.442    0.000 base.py:543(empty)
    69067    0.345    0.000    1.386    0.000 base.py:5464(equals)
    13066    0.020    0.000    0.021    0.000 base.py:555(<genexpr>)
     6533    0.021    0.000    0.285    0.000 base.py:5551(identical)
    13066    0.010    0.000    0.021    0.000 base.py:5564(<genexpr>)
    39201    0.019    0.000    0.068    0.000 base.py:56(<genexpr>)
   119378    0.065    0.000    0.065    0.000 base.py:574(_ensure_array)
   335069    0.374    0.000    1.032    0.000 base.py:58(_validate_set_axis)
   177362    0.600    0.000    2.176    0.000 base.py:588(_dtype_to_subclass)
    49469    0.037    0.000    0.037    0.000 base.py:6193(_index_as_unique)
    49469    0.124    0.000    0.432    0.000 base.py:6205(_maybe_promote)
    49469    0.150    0.000    3.865    0.000 base.py:6285(_should_compare)
    49469    0.072    0.000    0.434    0.000 base.py:6303(_is_comparable_dtype)
    49469    0.034    0.000   40.547    0.001 base.py:6576(_maybe_cast_listlike_indexer)
   285601    0.758    0.000    1.151    0.000 base.py:690(_simple_new)
   177334    1.827    0.000   72.202    0.000 base.py:708(_with_infer)
   588005    0.729    0.000   73.418    0.000 base.py:7277(ensure_index)
   705599    0.819    0.000    2.860    0.000 base.py:7372(maybe_extract_name)
   177334    1.106    0.000   44.186    0.000 base.py:7396(_maybe_cast_data_without_dtype)
     6533    0.034    0.000    0.061    0.000 base.py:742(__iter__)
        1    0.002    0.002    0.010    0.010 base.py:7437(get_unanimous_names)
        1    0.003    0.003    0.008    0.008 base.py:7450(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:7451(<listcomp>)
        2    0.000    0.000    0.000    0.000 base.py:7452(<genexpr>)
    49469    0.052    0.000    0.373    0.000 base.py:7456(unpack_nested_dtype)
    49469    0.529    0.000   68.958    0.001 base.py:796(_map_values)
        1    0.000    0.000    0.000    0.000 base.py:821(_view)
        1    0.000    0.000    0.000    0.000 base.py:830(_rename)
    69067    0.069    0.000    0.090    0.000 base.py:839(is_)
   341605    0.214    0.000    0.214    0.000 base.py:870(_reset_identity)
    49469    0.375    0.000    0.681    0.000 base.py:881(_engine)
   826054    0.370    0.000    0.514    0.000 base.py:925(__len__)
   177362    0.079    0.000    0.079    0.000 base.py:986(dtype)
        1    0.000    0.000    0.000    0.000 base_parser.py:1056(_make_date_converter)
    58797    0.746    0.000  203.026    0.003 base_parser.py:1059(converter)
     6533    1.486    0.000  204.652    0.031 base_parser.py:1148(_process_date_conversion)
    58797    0.048    0.000    0.064    0.000 base_parser.py:1157(_isindex)
    13066    0.064    0.000    0.111    0.000 base_parser.py:1283(_is_potential_multi_index)
    26132    0.028    0.000    0.030    0.000 base_parser.py:1308(<genexpr>)
        1    0.000    0.000    0.000    0.000 base_parser.py:1312(_validate_parse_dates_arg)
     6535    0.003    0.000    0.003    0.000 base_parser.py:1334(is_index_col)
        1    0.000    0.000    0.000    0.000 base_parser.py:165(_validate_parse_dates_presence)
       10    0.000    0.000    0.000    0.000 base_parser.py:197(<genexpr>)
        1    0.000    0.000    0.000    0.000 base_parser.py:209(<setcomp>)
        1    0.000    0.000    0.000    0.000 base_parser.py:221(<listcomp>)
        1    0.000    0.000    0.000    0.000 base_parser.py:229(_has_complex_date_col)
        1    0.000    0.000    0.000    0.000 base_parser.py:258(_extract_multi_indexer_columns)
     6533    0.186    0.000    0.255    0.000 base_parser.py:327(_maybe_dedup_names)
     6533    0.009    0.000    0.051    0.000 base_parser.py:358(_maybe_make_multi_index_columns)
     6533    0.021    0.000    0.076    0.000 base_parser.py:370(_make_index)
        1    0.000    0.000    0.000    0.000 base_parser.py:612(_set_noconvert_dtype_columns)
        9    0.000    0.000    0.000    0.000 base_parser.py:647(_set)
     6533    0.027    0.000  204.679    0.031 base_parser.py:814(_do_date_conversions)
     6533    0.009    0.000    0.011    0.000 base_parser.py:834(_check_data_length)
        1    0.000    0.000    0.000    0.000 base_parser.py:88(__init__)
        1    0.000    0.000    0.000    0.000 base_parser.py:924(_validate_usecols_arg)
   179725    0.349    0.000    1.086    0.000 blocks.py:160(_consolidate_key)
       15    0.000    0.000    0.000    0.000 blocks.py:1641(shape)
   124127    0.157    0.000    0.264    0.000 blocks.py:165(_can_hold_na)
   104378    0.104    0.000    0.657    0.000 blocks.py:188(is_bool)
    13066    0.021    0.000    0.021    0.000 blocks.py:1912(get_values)
        2    0.000    0.000    0.000    0.000 blocks.py:1939(is_extension)
     6554    0.005    0.000    0.081    0.000 blocks.py:200(fill_value)
   246420    0.475    0.000    1.386    0.000 blocks.py:2091(maybe_coerce_values)
   426145    0.902    0.000    1.186    0.000 blocks.py:2120(get_block_type)
   457478    0.098    0.000    0.098    0.000 blocks.py:213(mgr_locs)
    26150    0.083    0.000    0.915    0.000 blocks.py:2161(new_block_2d)
   220270    1.208    0.000    3.442    0.000 blocks.py:2172(new_block)
   220270    0.457    0.000    0.932    0.000 blocks.py:2186(check_ndim)
    39198    0.157    0.000    0.210    0.000 blocks.py:2250(extend_blocks)
       15    0.000    0.000    0.000    0.000 blocks.py:2266(ensure_block_shape)
       15    0.000    0.000    0.000    0.000 blocks.py:236(make_block_same_class)
   304795    0.178    0.000    0.231    0.000 blocks.py:500(dtype)
     6533    0.020    0.000    0.020    0.000 blocks.py:544(copy)
       18    0.000    0.000    0.000    0.000 blocks.py:823(shape)
        3    0.000    0.000    0.000    0.000 c_parser_wrapper.py:190(close)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:197(_set_noconvert_columns)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:208(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:209(<listcomp>)
     6534    0.160    0.000  644.194    0.099 c_parser_wrapper.py:218(read)
     6533    0.025    0.000    0.025    0.000 c_parser_wrapper.py:314(<listcomp>)
     6533    0.048    0.000    0.048    0.000 c_parser_wrapper.py:318(<dictcomp>)
     6533    6.427    0.001   45.072    0.007 c_parser_wrapper.py:351(_concatenate_chunks)
   261320    0.278    0.000    0.375    0.000 c_parser_wrapper.py:363(<listcomp>)
   261320    0.387    0.000    1.063    0.000 c_parser_wrapper.py:365(<setcomp>)
   261320    0.286    0.000    1.980    0.000 c_parser_wrapper.py:367(<setcomp>)
        1    0.000    0.000    0.001    0.001 c_parser_wrapper.py:416(ensure_dtype_objs)
        1    0.000    0.000    0.001    0.001 c_parser_wrapper.py:431(<dictcomp>)
        1    0.002    0.002    0.003    0.003 c_parser_wrapper.py:49(__init__)
    95306    0.493    0.000    5.461    0.000 cast.py:1178(maybe_infer_to_datetimelike)
   124031    0.104    0.000    0.104    0.000 cast.py:1422(sanitize_to_nanoseconds)
       19    0.015    0.001    0.033    0.002 cast.py:1589(find_common_type)
       22    0.000    0.000    0.000    0.000 cast.py:1619(<genexpr>)
       17    0.000    0.000    0.000    0.000 cast.py:1628(<genexpr>)
       14    0.000    0.000    0.000    0.000 cast.py:1630(<genexpr>)
       22    0.000    0.000    0.000    0.000 cast.py:1635(<genexpr>)
    78396    0.577    0.000    0.933    0.000 cast.py:1763(construct_1d_object_array_from_listlike)
   164204    0.135    0.000    0.158    0.000 cast.py:508(ensure_dtype_can_hold_na)
   249014    0.270    0.000    2.141    0.000 cast.py:527(maybe_promote)
        3    0.000    0.000    0.000    0.000 cast.py:566(_maybe_promote_cached)
   164205    0.410    0.000    1.871    0.000 cast.py:574(_maybe_promote)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
    85109    0.238    0.000    3.835    0.000 codecs.py:319(decode)
    85109    0.063    0.000    0.063    0.000 codecs.py:331(getstate)
        1    0.000    0.000    0.000    0.000 common.py:1102(_maybe_memory_map)
        2    0.000    0.000    0.000    0.000 common.py:112(close)
        2    0.000    0.000    0.000    0.000 common.py:1147(_is_binary_mode)
   515005    0.542    0.000    0.783    0.000 common.py:1154(needs_i8_conversion)
    13069    0.017    0.000    0.021    0.000 common.py:116(ensure_python_int)
        1    0.000    0.000    0.000    0.000 common.py:1168(_get_binary_io_classes)
    78461    0.119    0.000    0.362    0.000 common.py:1204(is_numeric_dtype)
   679737    1.007    0.000    2.731    0.000 common.py:1246(is_float_dtype)
   379171    0.671    0.000    2.205    0.000 common.py:1278(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 common.py:136(is_url)
    82101    0.266    0.000    0.642    0.000 common.py:1403(is_1d_only_ea_obj)
   697344    0.326    0.000    0.476    0.000 common.py:1420(is_1d_only_ea_dtype)
   875840    1.180    0.000    2.094    0.000 common.py:1433(is_extension_array_dtype)
  1449806    0.708    0.000    0.708    0.000 common.py:146(classes)
  1449806    0.541    0.000    0.831    0.000 common.py:148(<lambda>)
   511516    0.458    0.000    0.665    0.000 common.py:1487(is_ea_or_datetimelike_dtype)
   624610    0.273    0.000    0.273    0.000 common.py:151(classes_and_not_datetimelike)
    78391    0.070    0.000    0.168    0.000 common.py:1532(_is_dtype)
  1215572    0.787    0.000    1.532    0.000 common.py:1556(get_dtype)
   624610    0.387    0.000    0.536    0.000 common.py:156(<lambda>)
  2074416    2.162    0.000    4.440    0.000 common.py:1591(_is_dtype_type)
   603006    0.668    0.000    1.916    0.000 common.py:162(is_object_dtype)
        3    0.000    0.000    0.000    0.000 common.py:164(_expand_user)
   404139    0.527    0.000    1.586    0.000 common.py:1725(validate_all_hashable)
   808278    0.379    0.000    0.726    0.000 common.py:1744(<genexpr>)
  2039624    6.480    0.000   57.658    0.000 common.py:1751(pandas_dtype)
        1    0.000    0.000    0.000    0.000 common.py:178(not_none)
     6534    0.001    0.000    0.001    0.000 common.py:182(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:183(validate_header_arg)
     6534    0.018    0.000    0.028    0.000 common.py:192(all_none)
    78391    0.224    0.000    0.427    0.000 common.py:192(is_sparse)
    13068    0.006    0.000    0.006    0.000 common.py:196(<genexpr>)
        2    0.000    0.000    0.000    0.000 common.py:224(stringify_path)
   255758    1.604    0.000    5.336    0.000 common.py:235(asarray_tuplesafe)
        1    0.000    0.000    0.000    0.000 common.py:268(is_fsspec_url)
        1    0.000    0.000    0.000    0.000 common.py:280(_get_filepath_or_buffer)
    65330    0.118    0.000    0.360    0.000 common.py:303(maybe_iterable_to_list)
   334079    0.451    0.000    1.487    0.000 common.py:319(is_datetime64_dtype)
   137188    0.169    0.000    0.876    0.000 common.py:352(is_datetime64tz_dtype)
   186664    0.142    0.000    0.175    0.000 common.py:393(is_timedelta64_dtype)
  1499151    1.747    0.000   11.953    0.000 common.py:427(is_period_dtype)
    49469    0.075    0.000    0.478    0.000 common.py:463(is_interval_dtype)
        1    0.000    0.000    0.000    0.000 common.py:494(get_compression_method)
   769985    0.800    0.000    3.750    0.000 common.py:501(is_categorical_dtype)
        1    0.000    0.000    0.000    0.000 common.py:529(infer_compression)
   262796    0.137    0.000    0.137    0.000 common.py:537(is_string_or_object_np_dtype)
    78391    0.090    0.000    0.258    0.000 common.py:544(is_string_dtype)
   432121    0.313    0.000    0.913    0.000 common.py:566(require_length_match)
    78391    0.047    0.000    0.047    0.000 common.py:573(condition)
   339820    0.500    0.000    1.733    0.000 common.py:585(is_dtype_equal)
        1    0.000    0.000    0.001    0.001 common.py:645(get_handle)
   307393    0.425    0.000    1.287    0.000 common.py:684(is_integer_dtype)
   119378    0.127    0.000    0.333    0.000 common.py:736(is_signed_integer_dtype)
   119378    0.141    0.000    0.373    0.000 common.py:790(is_unsigned_integer_dtype)
    78370    0.145    0.000    0.215    0.000 common.py:929(is_datetime64_ns_dtype)
       33    0.053    0.002    0.128    0.004 concat.py:103(<listcomp>)
       33    0.110    0.003    0.822    0.025 concat.py:108(<setcomp>)
       33    0.058    0.002    0.085    0.003 concat.py:109(<setcomp>)
       74    0.000    0.000    0.000    0.000 concat.py:110(<genexpr>)
   182952    0.072    0.000    0.276    0.000 concat.py:113(<genexpr>)
       33    0.099    0.003    0.757    0.023 concat.py:116(<setcomp>)
   117642    0.038    0.000    0.055    0.000 concat.py:117(<genexpr>)
        1    0.001    0.001 1240.630 1240.630 concat.py:146(concat)
        1    3.401    3.401  510.938  510.938 concat.py:176(concatenate_managers)
        1    0.010    0.010    3.131    3.131 concat.py:199(<listcomp>)
       15    0.042    0.003    0.042    0.003 concat.py:217(<listcomp>)
        1    0.003    0.003    0.004    0.004 concat.py:246(_maybe_reindex_columns_na_proxy)
     6533    2.064    0.000    3.121    0.000 concat.py:278(_get_mgr_concatenation_plan)
        3    0.000    0.000    3.396    1.132 concat.py:331(_concatenate_2d)
        3    0.009    0.003    0.063    0.021 concat.py:334(<listcomp>)
        5    1.916    0.383  232.852   46.570 concat.py:338(_concat_datetime)
        5    0.007    0.001    0.020    0.004 concat.py:354(<listcomp>)
   215589    0.141    0.000    0.141    0.000 concat.py:354(__init__)
        5    0.008    0.002    0.013    0.003 concat.py:356(<setcomp>)
        3    0.033    0.011  226.082   75.361 concat.py:362(<listcomp>)
   117594    0.945    0.000    1.812    0.000 concat.py:366(needs_filling)
   117594    0.277    0.000    2.099    0.000 concat.py:375(dtype)
   104528    0.124    0.000    0.129    0.000 concat.py:385(_is_valid_na_for)
        1    0.020    0.020  729.337  729.337 concat.py:389(__init__)
   215589    1.770    0.000  189.009    0.001 concat.py:415(is_na)
   270464    0.428    0.000  150.712    0.001 concat.py:442(<genexpr>)
   117594    0.621    0.000   27.292    0.000 concat.py:444(get_reindexed_values)
        1    0.004    0.004    0.050    0.050 concat.py:476(<listcomp>)
       18    0.002    0.000  419.111   23.284 concat.py:527(_concatenate_join_units)
   117612    0.101    0.000    0.101    0.000 concat.py:539(<genexpr>)
       18    0.193    0.011   27.484    1.527 concat.py:542(<listcomp>)
   117612    0.052    0.000    0.105    0.000 concat.py:559(<genexpr>)
        1    0.173    0.173  511.292  511.292 concat.py:565(get_result)
       18    0.000    0.000    0.000    0.000 concat.py:582(_dtype_to_na_value)
       18    0.000    0.000  145.479    8.082 concat.py:605(_get_empty_dtype)
   117612    0.094    0.000    0.100    0.000 concat.py:623(<genexpr>)
       18    0.421    0.023  145.335    8.074 concat.py:625(<listcomp>)
        1    0.000    0.000    0.000    0.000 concat.py:625(_get_result_dim)
        1    0.000    0.000    0.225    0.225 concat.py:631(_get_new_axes)
        1    0.000    0.000    0.225    0.225 concat.py:633(<listcomp>)
       33    0.001    0.000   48.375    1.466 concat.py:635(_is_uniform_join_units)
        1    0.000    0.000    0.199    0.199 concat.py:638(_get_comb_axis)
   172526    0.093    0.000    0.093    0.000 concat.py:647(<genexpr>)
        1    0.000    0.000    0.025    0.025 concat.py:648(_get_concat_axis)
   163350    0.325    0.000    1.502    0.000 concat.py:650(<genexpr>)
   136751    0.467    0.000   46.658    0.000 concat.py:660(<genexpr>)
    98020    0.038    0.000    0.038    0.000 concat.py:663(<genexpr>)
       18    0.000    0.000    0.000    0.000 concat.py:670(_is_uniform_reindex)
       36    0.000    0.000    0.000    0.000 concat.py:673(<genexpr>)
    35864    0.187    0.000    0.267    0.000 concat.py:678(_trim_join_unit)
        1    0.002    0.002    0.007    0.007 concat.py:682(<listcomp>)
        1    0.000    0.000    0.000    0.000 concat.py:701(_maybe_check_integrity)
       34    0.923    0.027    1.347    0.040 concat.py:705(_combine_concat_plans)
        1    0.000    0.000    0.018    0.018 concat.py:708(_concat_indexes)
       33    0.013    0.000  281.442    8.529 concat.py:71(concat_compat)
   186258    0.051    0.000    0.140    0.000 concat.py:731(_next_or_none)
   215589    0.076    0.000    0.076    0.000 concat.py:92(is_nonempty)
   226818    0.574    0.000    1.619    0.000 config.py:116(_get_single_key)
   226818    0.358    0.000    2.687    0.000 config.py:134(_get_option)
   226818    0.255    0.000    2.942    0.000 config.py:262(__call__)
   226818    0.196    0.000    0.196    0.000 config.py:579(_select_options)
   226818    0.551    0.000    0.711    0.000 config.py:597(_get_root)
   453636    0.489    0.000    0.489    0.000 config.py:611(_get_deprecated_option)
   226818    0.118    0.000    0.232    0.000 config.py:638(_translate_key)
   226818    0.173    0.000    0.548    0.000 config.py:650(_warn_if_deprecated)
     6533    1.369    0.000   40.351    0.006 construction.py:100(arrays_to_mgr)
     6533    0.010    0.000    0.011    0.000 construction.py:231(mgr_to_mgr)
  2570734    2.058    0.000   12.569    0.000 construction.py:399(extract_array)
     6533    0.224    0.000   78.446    0.012 construction.py:423(dict_to_mgr)
   449010    0.597    0.000    2.373    0.000 construction.py:461(ensure_wrapped_if_datetimelike)
     6533    0.180    0.000   28.265    0.004 construction.py:488(<listcomp>)
   560014    2.877    0.000   16.302    0.000 construction.py:493(sanitize_array)
     6533    0.505    0.000    5.743    0.001 construction.py:588(_homogenize)
   560014    0.559    0.000    1.129    0.000 construction.py:676(_sanitize_ndim)
   363091    0.235    0.000    0.294    0.000 construction.py:713(_sanitize_str_dtypes)
   560014    0.327    0.000    0.445    0.000 construction.py:733(_maybe_repeat)
   363091    0.858    0.000    7.943    0.000 construction.py:744(_try_cast)
   449868    0.463    0.000    1.612    0.000 construction.py:861(is_empty_data)
   114799    0.634    0.000   29.753    0.000 construction.py:881(create_series_with_explicit_dtype)
    35865    0.032    0.000    0.056    0.000 copy.py:66(copy)
    52215    0.048    0.000    0.100    0.000 datetimelike.py:2012(_reso)
    78391    0.189    0.000    0.827    0.000 datetimelike.py:2138(ensure_arraylike_for_datetimelike)
    78391    0.030    0.000    0.030    0.000 datetimelike.py:2206(validate_inferred_freq)
    78391    0.105    0.000    0.151    0.000 datetimelike.py:2243(maybe_infer_freq)
    19573    0.016    0.000    0.078    0.000 datetimelike.py:295(asi8)
    71856    0.067    0.000    0.312    0.000 datetimelike.py:330(__array__)
  1375030    5.169    0.000   44.331    0.000 datetimelike.py:347(__getitem__)
